race_id,candidates,inc,inc_party,inc_party,inc_R,inc_results,state,abbrev,rival,year
GA_gov_1998,"['Roy Barnes (Democratic) 52.5', 'Guy Millner (Republican) 44.0', 'Jack Cashin (Libertarian) 3.4', '\n']","Zell Miller
",D,"Democratic
",0,"Term-limited, Democratic victory
",Georgia,GA,Roy Barnes (Democratic) 52.5,1998
GA_gov_2002,"['Sonny Perdue (Republican) 51.4', '  Garrett Hayes (Libertarian) 2.3', '\n']","Roy Barnes
",D,"Democratic
",0,"Defeated, 46.3%
",Georgia,GA,Sonny Perdue (Republican) 51.4,2002
GA_gov_2006,"['Sonny Perdue (R) 57.9', 'Mark Taylor (D) 38.2', 'Garrett Hayes (L) 3.8', '\n']","Sonny Perdue
",R,"Republican
",1,"Re-elected
",Georgia,GA,Sonny Perdue (R) 57.9,2006
GA_gov_2010,"['Nathan Deal (R), 52.9', '\nRoy Barnes (D), 43.1', '\nJohn Monds (L), 103,194 4', '\n\n']","Sonny Perdue
",R,"Republican
",1,"Term-limited, Republican victory
",Georgia,GA,"Nathan Deal (R), 52.9",2010
GA_gov_2014,['√ Nathan Deal (R) Jason Carter (D)[20] Andrew Hunt (L)[21]\n'],Nathan Deal,R,Republican,1,Re-elected 52.8%,Georgia,GA,"√ Nathan Deal (R) Jason Carter (D)[20] Andrew Hunt (L)[21]
",2014
HI_gov_1978,"['John R. Leopold (Republican) 44.3', 'Alema Leota (non-partisan) 0.7', 'Gregory Reeser (Libertarian) 0.4', 'John Moore (Aloha Democratic) 0.2', '\n']","George Ariyoshi
",D,"Democratic
",0,"Re-elected, 54.5%
",Hawaii,HI,John R. Leopold (Republican) 44.3,1978
HI_gov_1982,"['Frank Fasi (Independent Democrat) 28.6', 'D. G. Anderson (Republican) 26.1', '\n']","George Ariyoshi
",D,"Democratic
",0,"Re-elected, 45.2%
",Hawaii,HI,Frank Fasi (Independent Democrat) 28.6,1982
HI_gov_1986,"['John D. Waihee III (Democratic) 52.0', 'D. G. Anderson (Republican) 48.0', '\n']","George Ariyoshi
",D,"Democratic
",0,"Term-limited, Democratic victory
",Hawaii,HI,John D. Waihee III (Democratic) 52.0,1986
HI_gov_1990,"['Fred Hemmings (Republican) 38.6', 'Triaka-Don Smith (Libertarian) 0.9', 'Peggy Ross (Natural Law) 0.7', '\n']","John D. Waihee III
",D,"Democratic
",0,"Re-elected, 59.8%
",Hawaii,HI,Fred Hemmings (Republican) 38.6,1990
HI_gov_1994,"['Ben Cayetano (Democratic) 36.6', 'Frank Fasi (Best Party of Hawaii) 30.7', 'Pat Saiki (Republican) 29.2', 'Kioni Dudley (Green) 3.5', '\n']","John Waihee
",D,"Democratic
",0,"Term-limited, Democratic victory
",Hawaii,HI,Ben Cayetano (Democratic) 36.6,1994
HI_gov_1998,"['Linda Lingle (Republican) 48.8', 'George Peabody (Libertarian) 1.1', '\n']","Ben Cayetano
",D,"Democratic
",0,"Re-elected, 50.1%
",Hawaii,HI,Linda Lingle (Republican) 48.8,1998
HI_gov_2002,"['Linda Lingle (Republican) 51.6', '  Mazie Hirono (Democratic) 47', ' Kau`i Hill (Natural Law) 0.7', ' Tracy Ryan (Libertarian) 0.4', ' Jim Brewer (Independent) 0.3', '\n']","Ben Cayetano
",D,"Democratic
",0,"Term-limited, Republican victory
",Hawaii,HI,Linda Lingle (Republican) 51.6,2002
HI_gov_2006,"['Linda Lingle (R) 62.5', ' Randy Iwase (D) 35.4', ' Jim Brewer (G) 1.6', ' Ozell Daniel (L) 0.5', '\n']","Linda Lingle
",R,"Republican
",1,"Re-elected
",Hawaii,HI,Linda Lingle (R) 62.5,2006
HI_gov_2010,"['Neil Abercrombie (D), 58.2', '\nDuke Aiona (R), 41.1', '\n\n']","Linda Lingle
",R,"Republican
",1,"Term-limited, Democratic victory
",Hawaii,HI,"Neil Abercrombie (D), 58.2",2010
HI_gov_2014,['√ David Ige (D)[22]Duke Aiona (R)[23]Mufi Hannemann (Hawaii Independent) Jeff Davis (L)[24]\n'],Neil Abercrombie,D,Democratic,0,Incumbent defeated in primary.Democratic hold,Hawaii,HI,"√ David Ige (D)[22]Duke Aiona (R)[23]Mufi Hannemann (Hawaii Independent) Jeff Davis (L)[24]
",2014
ID_gov_1978,"['Allan Larsen (Republican) 39.6', 'Wayne Loveless (American) 1.7', '\n']","John V. Evans
",D,"Democratic
",0,"Re-elected, 58.8%
",Idaho,ID,Allan Larsen (Republican) 39.6,1978
ID_gov_1982,"['Phil Batt (Republican) 47.1', '\n']","John V. Evans
",D,"Democratic
",0,"Re-elected, 52.9%
",Idaho,ID,Phil Batt (Republican) 47.1,1982
ID_gov_1986,"['Cecil D. Andrus (Democratic) 50.5', 'David H. Leroy (Republican) 49.5', '\n']","John V. Evans
",D,"Democratic
",0,"Retired, Democratic victory
",Idaho,ID,Cecil D. Andrus (Democratic) 50.5,1986
ID_gov_1990,"['Roger Fairchild (Republican) 31.8', '\n']","Cecil D. Andrus
",D,"Democratic
",0,"Re-elected, 68.2%
",Idaho,ID,Roger Fairchild (Republican) 31.8,1990
ID_gov_1994,"['Phil Batt (Republican) 52.3', 'Larry EchoHawk (Democratic) 43.9', 'Ronald Rankin (Independent) 3.8', '\n']","Cecil Andrus
",D,"Democratic
",0,"Retired, Republican victory
",Idaho,ID,Phil Batt (Republican) 52.3,1994
ID_gov_1998,"['Dirk Kempthorne (Republican) 67.7', 'Robert Huntley (Democratic) 29.1', 'Peter Rickards (Independent) 3.2', '\n']","Phil Batt
",R,"Republican
",1,"Retired, Republican victory
",Idaho,ID,Dirk Kempthorne (Republican) 67.7,1998
ID_gov_2002,"['Jerry Brady (Democratic) 41.7', '  Daniel Adams (Libertarian) 2', '\n']","Dirk Kempthorne
",R,"Republican
",1,"Re-elected, 56.3%
",Idaho,ID,Jerry Brady (Democratic) 41.7,2002
ID_gov_2006,"['Butch Otter (R) 52.7', ' Jerry Brady (D) 44.1', 'Marvin Richardson (C) 1.6', ' Ted Dunlap (L) 1.6', '\n']","Jim Risch
",R,"Republican
",1,"Elected Lieutenant Governor, Republican hold
",Idaho,ID,Butch Otter (R) 52.7,2006
ID_gov_2010,"['Keith Allred (D), 32.9', '\nJana Kemp (I), 5.9', '\n\n']","Butch Otter
",R,"Republican
",1,"Re-elected, 59.1%
",Idaho,ID,"Keith Allred (D), 32.9",2010
ID_gov_2014,['√ Butch Otter (R)A.J. Balukoff (D)[25] Steve Pankey (Constitution)[25] John Bujak (L)[25] Jill Humble (I)[25] Pro-Life (Marvin Richardson) (I)[25][26]\n'],Butch Otter,R,Republican,1,Re-elected 53.5%,Idaho,ID,"√ Butch Otter (R)A.J. Balukoff (D)[25] Steve Pankey (Constitution)[25] John Bujak (L)[25] Jill Humble (I)[25] Pro-Life (Marvin Richardson) (I)[25][26]
",2014
IL_gov_1976,"['James R. Thompson (Republican) 64.68', '  Michael Howlett (Democratic) 34.71', '  Ishmael Flory (Communist) 0.22', '\n']","Daniel Walker
",D,"Democratic
",0,"Defeated in Primary,[4] Republican victory
",Illinois,IL,James R. Thompson (Republican) 64.68,1976
IL_gov_1978,"['Michael Bakalis (Democratic) 40.1', 'Georgia Shields (Libertarian) 0.4', 'Cecil Lampkin (Socialist Workers) 0.4', 'Melvin Klenetsky (U.S. Labor) 0.2', '\n']","James R. Thompson
",R,"Republican
",1,"Re-elected, 59.0%
",Illinois,IL,Michael Bakalis (Democratic) 40.1,1978
IL_gov_1982,"['Adlai Stevenson III (Democratic) 49.30', 'Bea Armstrong (Libertarian) 0.67', 'John E. Roche (U.S. Taxpayers) 0.60', '\n']","James R. Thompson
",R,"Republican
",1,"Re-elected, 49.44%
",Illinois,IL,Adlai Stevenson III (Democratic) 49.30,1982
IL_gov_1986,"['Adlai Stevenson III (Solidarity) 40.0', '(No gubernatorial candidate)[1] (Democratic) 6.6', 'Gary L. Shilts (Libertarian) 0.5', '\n']","James R. Thompson
",R,"Republican
",1,"Re-elected, 52.7%
",Illinois,IL,Adlai Stevenson III (Solidarity) 40.0,1986
IL_gov_1990,"['Jim Edgar (Republican) 50.8', 'Neil Hartigan (Democratic) 48.2', 'Jessie Fields (Solidarity) 1.1', '\n']","James R. Thompson
",R,"Republican
",1,"Retired, Republican victory
",Illinois,IL,Jim Edgar (Republican) 50.8,1990
IL_gov_1994,"['Dawn Netsch (Democratic) 34.4', 'David Kelley (Libertarian) 1.7', '\n']","Jim Edgar
",R,"Republican
",1,"Re-elected, 63.9%
",Illinois,IL,Dawn Netsch (Democratic) 34.4,1994
IL_gov_1998,"['George Ryan (Republican) 51.0', 'Glenn Poshard (Democratic) 47.5', 'Lawrence Redmond (Reform) 1.5', '\n']","Jim Edgar
",R,"Republican
",1,"Retired, Republican victory
",Illinois,IL,George Ryan (Republican) 51.0,1998
IL_gov_2002,"['Rod Blagojevich (Democratic) 52.2', '  Jim Ryan (Republican) 45.1', '  Cal Skinner (Libertarian) 2.1', '\n']","George Ryan
",R,"Republican
",1,"Retired, Democratic victory
",Illinois,IL,Rod Blagojevich (Democratic) 52.2,2002
IL_gov_2006,"['Rod Blagojevich (D) 49.8', ' Judy Baar Topinka (R) 39.3', 'Rich Whitney (G) 10.4', ' Randy Stufflebeam (Write-in) (C) 0.5', '\n']","Rod Blagojevich
",D,"Democratic
",0,"Re-elected
",Illinois,IL,Rod Blagojevich (D) 49.8,2006
IL_gov_2010,"['Bill Brady (R), 46.1', '\n']","Pat Quinn
",D,"Democratic
",0,"Elected to full term, 46.6%
",Illinois,IL,"Bill Brady (R), 46.1",2010
IL_gov_2014,['√ Bruce Rauner (R)[27] Pat Quinn (D)[27] Chad Grimm (L)[28]\n'],Pat Quinn,D,Democratic,0,Incumbent lost re-election.Republican gain,Illinois,IL,"√ Bruce Rauner (R)[27] Pat Quinn (D)[27] Chad Grimm (L)[28]
",2014
IN_gov_1976,"['Larry Conrad (Democratic) 42.63', 'Daniel P. Talbot (American) 0.45', 'Samuel L. Washington (U.S. Labor) 0.08', '\n']","Otis R. Bowen
",R,"Republican
",1,"Re-elected, 56.85%
",Indiana,IN,Larry Conrad (Democratic) 42.63,1976
IN_gov_1980,"['Robert D. Orr (Republican) 57.7', 'John A. Hillenbrand (Democratic) 41.9', 'Cletis Artist (American) 0.4', '\n']","Otis R. Bowen
",R,"Republican
",1,"Term-limited, Republican victory
",Indiana,IN,Robert D. Orr (Republican) 57.7,1980
IN_gov_1984,"['Wayne Townsend (Democratic) 47.18', 'Rockland Snyder (American) 0.34', 'James A. Ridenour (Libertarian) 0.32', '\n']","Robert D. Orr
",R,"Republican
",1,"Re-elected, 52.16%
",Indiana,IN,Wayne Townsend (Democratic) 47.18,1984
IN_gov_1988,"['Evan Bayh (Democratic) 53.2', 'John Mutz (Republican) 46.8', '\n']","Robert D. Orr
",R,"Republican
",1,"Term-limited, Democratic victory
",Indiana,IN,Evan Bayh (Democratic) 53.2,1988
IN_gov_1992,"['Linley Pearson (Republican) 36.9', 'Mary Barton (New Alliance) 1.1', '\n']","Evan Bayh
",D,"Democratic
",0,"Re-elected, 62.0%
",Indiana,IN,Linley Pearson (Republican) 36.9,1992
IN_gov_1996,"[""Frank O'Bannon (Democratic) 51.5"", 'Steve Goldsmith (Republican) 46.8', 'Steve Dillon (Libertarian) 1.7', '\n']","Evan Bayh
",D,"Democratic
",0,"Term-limited, Democratic victory
",Indiana,IN,Frank O'Bannon (Democratic) 51.5,1996
IN_gov_2000,"['David McIntosh (Republican) 41.7', 'Andrew Horning (Libertarian) 1.8', '\n']","Frank O'Bannon
",D,"Democratic
",0,"Re-elected, 56.6%
",Indiana,IN,David McIntosh (Republican) 41.7,2000
IN_gov_2004,"['Mitch Daniels (Republican) 53.2', 'Kenn Gividen (Libertarian) 1.2', '\n']","Joe Kernan
",D,"Democratic
",0,"Defeated, 45.5%
",Indiana,IN,Mitch Daniels (Republican) 53.2,2004
IN_gov_2008,"['Jill Long Thompson (D) 40.1', 'Andy Horning (L) 2.1', '\n']","Mitch Daniels
",R,"Republican
",1,"Re-elected, 57.8%
",Indiana,IN,Jill Long Thompson (D) 40.1,2008
IN_gov_2012,"['Mike Pence (R) 49.49', 'John Gregg (D) 46.56', 'Rupert Boneham (L) 3.95', '\n']","Mitch Daniels
",R,"Republican
",1,"Term-limited, Republican hold
",Indiana,IN,Mike Pence (R) 49.49,2012
IN_gov_2016,['Eric Holcomb (Republican)[15]John Gregg (Democratic)[16] Rex Bell (Libertarian)[17]\n'],"Mike Pence
",R,"Republican
",1,"Incumbent retired to run for Vice President of the United States.[14] New governor elected. Republican Hold.
",Indiana,IN,"Eric Holcomb (Republican)[15]John Gregg (Democratic)[16] Rex Bell (Libertarian)[17]
",2016
IA_gov_1978,"['Jerome D. Fitzgerald (Democratic) 41.0', 'John Ball (Libertarian) 0.5', 'Joseph Grant (Socialist) 0.2', '\n']","Robert D. Ray
",R,"Republican
",1,"Re-elected, 58.3%
",Iowa,IA,Jerome D. Fitzgerald (Democratic) 41.0,1978
IA_gov_1982,"['Terry E. Branstad (Republican) 52.8', 'Roxanne Conlin (Democratic) 46.6', 'Marcia Farrington (Libertarian) 0.3', 'Jim Bittner (Socialist) 0.3', '\n']","Robert D. Ray
",R,"Republican
",1,"Retired, Republican victory
",Iowa,IA,Terry E. Branstad (Republican) 52.8,1982
IA_gov_1986,"['Lowell Junkins (Democratic) 48.0', '\n']","Terry E. Branstad
",R,"Republican
",1,"Re-elected, 51.9%
",Iowa,IA,Lowell Junkins (Democratic) 48.0,1986
IA_gov_1990,"['Donald Avenson (Democratic) 38.5', 'F. Nan Bailey (Socialist Workers) 0.4', '\n']","Terry E. Branstad
",R,"Republican
",1,"Re-elected, 60.6%
",Iowa,IA,Donald Avenson (Democratic) 38.5,1990
IA_gov_1994,"['Bonnie Campbell (Democratic) 41.6', 'Richard Hughes (Nom. By Petition) 0.6', 'Veronica Butler (Natural Law) 0.4', 'Carl Olsen (Libertarian) 0.3', 'Michael Galati (Socialist Workers) 0.1', '\n']","Terry Branstad
",R,"Republican
",1,"Re-elected, 56.80%
",Iowa,IA,Bonnie Campbell (Democratic) 41.6,1994
IA_gov_1998,"['Tom Vilsack (Democratic) 52.3', 'Jim Lightfoot (Republican) 46.5', 'Jim Hennager (Reform) 0.6', '\n']","Terry Branstad
",R,"Republican
",1,"Retired, Democratic victory
",Iowa,IA,Tom Vilsack (Democratic) 52.3,1998
IA_gov_2002,"['Doug Gross (Republican) 44.5', '  Jay Robinson (Green) 1.4', '  Clyde Cleveland (Libertarian) 1.3', '\n']","Tom Vilsack
",D,"Democratic
",0,"Re-elected, 52.7%
",Iowa,IA,Doug Gross (Republican) 44.5,2002
IA_gov_2006,"['Chet Culver (D) 54.0', ' Jim Nussle (R) 44.6', ' Wendy Barth (G) 0.7', ' Kevin Litten (L) 0.5', ' Mary Martin (SW) 0.2', '\n']","Tom Vilsack
",D,"Democratic
",0,"Retired, Democratic hold
",Iowa,IA,Chet Culver (D) 54.0,2006
IA_gov_2010,"['Terry Branstad (R), 53.0', '\nEric Cooper (L),  1.27', '\n\n']","Chet Culver
",D,"Democratic
",0,"Defeated, 43.3%
",Iowa,IA,"Terry Branstad (R), 53.0",2010
IA_gov_2014,['√ Terry Branstad (R) Jack Hatch (D)[29] Lee Hieb (L)[30]David Rosenfeld (Socialist Workers)\n'],Terry Branstad,R,Republican,1,Re-elected 59.1%,Iowa,IA,"√ Terry Branstad (R) Jack Hatch (D)[29] Lee Hieb (L)[30]David Rosenfeld (Socialist Workers)
",2014
KS_gov_1978,"['John W. Carlin (Democratic) 49.4', 'Frank W. Shelton Jr. (American) 2.3', 'Berry Beets (Prohibition) 1.0', '\n']","Robert F. Bennett
",R,"Republican
",1,"Defeated, 47.3%
",Kansas,KS,John W. Carlin (Democratic) 49.4,1978
KS_gov_1982,"['Sam Hardage (Republican) 44.5', 'James H. Ward (Libertarian) 1.0', 'Frank Shelton (American) 0.8', 'Warren C. Martin (Prohibition) 0.6', '\n']","John W. Carlin
",D,"Democratic
",0,"Re-elected, 53.2%
",Kansas,KS,Sam Hardage (Republican) 44.5,1982
KS_gov_1986,"['Mike Hayden (Republican) 51.9', 'Thomas R. Docking (Democratic) 48.1', '\n']","John W. Carlin
",D,"Democratic
",0,"Term-limited, Republican victory
",Kansas,KS,Mike Hayden (Republican) 51.9,1986
KS_gov_1990,"['Joan Finney (Democratic) 48.6', 'Christina Campbell-Cline (Independent) 8.8', '\n']","Mike Hayden
",R,"Republican
",1,"Defeated, 42.6%
",Kansas,KS,Joan Finney (Democratic) 48.6,1990
KS_gov_1994,"['Bill Graves (Republican) 64.1', 'Jim Slattery (Democratic) 35.9', '\n']","Joan Finney
",D,"Democratic
",0,"Retired, Republican victory
",Kansas,KS,Bill Graves (Republican) 64.1,1994
KS_gov_1998,"['Tom Sawyer (Democratic) 22.7', 'Kirt Poovey (Taxpayers) 2.9', 'Darrel King (Reform) 1.1', '\n']","Bill Graves
",R,"Republican
",1,"Re-elected, 73.4%
",Kansas,KS,Tom Sawyer (Democratic) 22.7,1998
KS_gov_2002,"['Kathleen Sebelius (Democratic) 52.9', '  Tim Shallenburger (Republican) 45.1', ' Ted Pettibone (Reform) 1.1', ' Dennis Hawver (Libertarian) 1.0', '\n']","Bill Graves
",R,"Republican
",1,"Term-limited, Democratic victory
",Kansas,KS,Kathleen Sebelius (Democratic) 52.9,2002
KS_gov_2006,"['Kathleen Sebelius (D) 57.8', ' Jim Barnett (R) 40.5', ' Carl Kramer (L) 1.0', ' Robert Conroy (Ref) 0.6', '\n']","Kathleen Sebelius
",D,"Democratic
",0,"Re-elected
",Kansas,KS,Kathleen Sebelius (D) 57.8,2006
KS_gov_2010,"['Sam Brownback (R), 63.4', '\nTom Holland (D), 32.1', '\nAndrew P. Gray (L), 22,460 2.7', '\n\n']","Mark Parkinson
",D,"Democratic
",0,"Retired, Republican victory
",Kansas,KS,"Sam Brownback (R), 63.4",2010
KS_gov_2014,['√ Sam Brownback (R) Paul Davis (D)[31] Keen Umbehr (L)[32]\n'],Sam Brownback,R,Republican,1,Re-elected 50%,Kansas,KS,"√ Sam Brownback (R) Paul Davis (D)[31] Keen Umbehr (L)[32]
",2014
KY_gov_1979,"['John Y. Brown Jr. (Democratic) 59.41', 'Louie B. Nunn (Republican) 40.59', '\n']","Julian Carroll
",D,"Democratic
",0,"Term-limited, Democratic victory
",Kentucky,KY,"John Y. Brown, Jr. (Democratic) 59.41",1979
KY_gov_1983,"['Martha Layne Collins (Democratic) 54.5', 'Jim Bunning (Republican) 44.1', 'Nicholas McCubbin (Independent) 1.4', '\n']","John Y. Brown, Jr.
",D,"Democratic
",0,"Term-limited, Democratic victory
",Kentucky,KY,Martha Layne Collins (Democratic) 54.5,1983
KY_gov_1987,"['Wallace G. Wilkinson (Democratic) 64.5', 'John Harper (Republican) 34.9', '\n']","Martha Layne Collins
",D,"Democratic
",0,"Term-limited, Democratic victory
",Kentucky,KY,Wallace G. Wilkinson (Democratic) 64.5,1987
KY_gov_1991,"['Brereton Jones (Democratic) 64.7', 'Larry Hopkins (Republican) 35.3', '\n']","Wallace Wilkinson
",D,"Democratic
",0,"Term-limited, Democratic victory
",Kentucky,KY,Brereton Jones (Democratic) 64.7,1991
KY_gov_1995,"['Paul Patton (Democratic) 50.9', 'Larry Forgy (Republican) 48.7', 'Gatewood Galbraith (Independent) 0.4', '\n']","Brereton Jones
",D,"Democratic
",0,"Term-limited, Democratic victory
",Kentucky,KY,Paul Patton (Democratic) 50.9,1995
KY_gov_1999,"['Peppy Martin (Republican) 22.2', ' Gatewood Galbraith (Reform) 15.3', 'Nailah Jumoke-Yarbrough (Natural Law) 1.2', '\n']","Paul Patton
",D,"Democratic
",0,"Re-elected, 60.7%
",Kentucky,KY,Peppy Martin (Republican) 22.2,1999
KY_gov_2003,"['Ernie Fletcher (R) 55', 'Ben Chandler (D) 45', '\n']","Paul Patton
",D,"Democratic
",0,"Term-limited, Republican victory
",Kentucky,KY,Ernie Fletcher (R) 55,2003
KY_gov_2007,"['Steve Beshear (Democratic) 58.7', '\n']","Ernie Fletcher
",R,"Republican
",1,"Defeated, 41.3%
",Kentucky,KY,Steve Beshear (Democratic) 58.7,2007
KY_gov_2011,"['Steve Beshear (D), 55.65', ' David Williams (R), 35.29', '  Gatewood Galbraith (I), 8.97', '\n']","Steve Beshear
",D,"Democrat
",0,"Re-elected
",Kentucky,KY,"Steve Beshear (D), 55.65",2011
KY_gov_2015,"? Matt Bevin (R) 53%, Jack Conway (D) 44%, Drew Curtis (I) 4%",Steve Beshear,D,Democratic,0,2007,Kentucky,KY,Incumbent term-limited.Republican gain,2015
LA_gov_1979,"['Dave Treen (Republican) 21.79', ' (50.35', ' in Runoff) Louis Lambert (Democratic) 20.74', ' (49.65', ' in Runoff) Jimmy Fitzmorris (Democratic) 20.56', ' Paul Hardy (Democratic) 16.62', ' E. L. Henry (Democratic) 9.94', ' Edgar G. ""Sonny"" Mouton, Jr. (Democratic) 9.103', ' L. D. Knox (Democratic) 0.46', '\n']","Edwin Edwards
",D,"Democratic
",0,"Term-limited, Republican victory
",Louisiana,LA,Dave Treen (Republican) 21.79,1979
LA_gov_1983,"['Edwin Edwards (Democratic) 62.3', 'Robert M. Ross (Republican) 0.5', 'Ken ""Cousin Ken"" Lewis (Democratic) 0.3', 'Charlie Moore (Independent) 0.1', 'Floyd W. Smith, Jr. (Democratic) 0.1', 'Midiele Smith (Independent) 0.1', 'Joseph T. Robino (Independent) 0.1', 'Michael Musmeci (Democratic) 0.1', '\n']","David C. Treen
",R,"Republican
",1,"Defeated, 36.4%
",Louisiana,LA,Edwin Edwards (Democratic) 62.3,1983
LA_gov_1987,"['Buddy Roemer (Democratic) 33.2', 'Bob Livingston (Republican) 18.5', 'Billy Tauzin (Democratic) 9.9', 'Jim Brown (Democratic) 8.9', 'Speedy O. Long (Democratic) 1.2', '\n']","Edwin Edwards
",D,"Democratic
",0,"Advanced in primary (27.9%), withdrew from runoff
",Louisiana,LA,Buddy Roemer (Democratic) 33.2,1987
LA_gov_1991,"['Edwin Edwards (Democratic) 33.7', ' (61.2', ' in runoff)David Duke (Republican) 31.7', ' (38.3', ' in runoff) Buddy Roemer (Republican) 28', ' Clyde Holloway (Republican) 5.3', 'Sam Jones (Democratic) 0.8', 'Ed Karst (no party) 0.6', '\n']","Buddy Roemer
",R,"Republican
",1,"Defeated in primary (26.5%), Democratic victory
",Louisiana,LA,Edwin Edwards (Democratic) 33.7,1991
LA_gov_1995,"['Mike Foster (Republican) 63.5', 'Cleo Fields (Democratic) 36.5', '\n']","Edwin Edwards
",D,"Democratic
",0,"Retired, Republican victory
",Louisiana,LA,Mike Foster (Republican) 63.5,1995
LA_gov_1999,"['Bill Jefferson (Democratic) 29.5', 'Tom Greene (Republican) 2.4', '\n']","Mike Foster
",R,"Republican
",1,"Re-elected, 62.2%
",Louisiana,LA,Bill Jefferson (Democratic) 29.5,1999
LA_gov_2003,"['Bobby Jindal (R) 33', ' (48', ' in runoff)Kathleen Blanco (D) 18', ' (52', ' in runoff)Richard Ieyoub (D) 16', 'Buddy Leach (D) 14', ' Randy Ewing (D) 9', 'Hunt Downer (R) 6', '\n']","Mike Foster
",R,"Republican
",1,"Term-limited, Democratic victory
",Louisiana,LA,Bobby Jindal (R) 33,2003
LA_gov_2007,"['Bobby Jindal (Republican) 53.9', 'Walter Boasso (Democratic) 17.4', 'John Georges (Independent) 14.4', 'Foster Campbell (Democratic) 12.4', 'Others 1.9', '\n']","Kathleen Blanco
",D,"Democratic
",0,"Retired, Republican victory
",Louisiana,LA,Bobby Jindal (Republican) 53.9,2007
LA_gov_2011,"['Bobby Jindal (R), 65.82', '  Tara Hollis (D), 17.87', '\n']","Bobby Jindal
",R,"Republican
",1,"Re-elected
",Louisiana,LA,"Bobby Jindal (R), 65.82",2011
LA_gov_2015,"? John Bel Edwards (D) 56%, David Vitter (R) 44%, ",Bobby Jindal,R,Republican,1,2007,Louisiana,LA,Incumbent term-limited.Democratic gain,2015
ME_gov_1978,"['Joseph E. Brennan (Democratic) 47.7', 'Linwood E. Palmer, Jr. (Republican) 34.3', 'Herman Franklin (Independent) 17.8', 'James B. Longley (write-in) 0.2', '\n']","James B. Longley
",I,"Independent
",0,"Retired, Democratic victory
",Maine,ME,Joseph E. Brennan (Democratic) 47.7,1978
ME_gov_1982,"['Charles R. Cragin (Republican) 37.7', 'Venn Warren (Independent) 0.6', 'J. Martin ""Marty"" Vachon (Independent) 0.6', '\n']","Joseph E. Brennan
",D,"Democratic
",0,"Re-elected, 61.2%
",Maine,ME,Charles R. Cragin (Republican) 37.7,1982
ME_gov_1986,"['John R. McKernan Jr. (Republican) 39.9', 'James E. Tierney (Democratic) 30.2', 'Sherry Huber (Independent) 15.1', 'John Menario (Independent) 14.9', '\n']","Joseph E. Brennan
",D,"Democratic
",0,"Term-limited, Republican victory
",Maine,ME,"John R. McKernan, Jr. (Republican) 39.9",1986
ME_gov_1990,"['Joseph E. Brennan (Democratic) 44.0', 'Andrew Adam (Independent) 9.3', '\n']","John R. McKernan, Jr.
",R,"Republican
",1,"Re-elected, 46.6%
",Maine,ME,Joseph E. Brennan (Democratic) 44.0,1990
ME_gov_1994,"['Angus King (Independent) 35.4', 'Joseph Brennan (Democratic) 33.8', 'Susan Collins (Republican) 23.1', 'Johnathan Carter (Green) 6.4', 'Ed Finks (Write-in) 1.3', '\n']","Jock McKernan
",R,"Republican
",1,"Term-limited, Independent victory
",Maine,ME,Angus King (Independent) 35.4,1994
ME_gov_1998,"['Jim Longley (Republican) 18.9', 'Tom Connolly (Democratic) 12.0', 'Pat LaMarche (Green Independent) 6.8', 'William Clarke (Taxpayers) 3.6', '\n']","Angus King
",I,"Independent
",0,"Re-elected, 58.6%
",Maine,ME,Jim Longley (Republican) 18.9,1998
ME_gov_2002,"['John Baldacci (Democratic) 47.2', '  Peter Cianchette (Republican) 41.5', '  Jonathan Carter (Green) 9.3', '  John Michael (Independent) 2.1', '\n']","Angus King
",I,"Independent
",0,"Term-limited, Democratic victory
",Maine,ME,John Baldacci (Democratic) 47.2,2002
ME_gov_2006,"['John Baldacci (D) 38.0', ' Chandler Woodcock (R) 30.3', ' Barbara Merrill (I) 21.5', ' Pat LaMarche (G) 9.6', ' Phillip Morris Napier (I) 0.6', '\n']","John Baldacci
",D,"Democratic
",0,"Re-elected
",Maine,ME,John Baldacci (D) 38.0,2006
ME_gov_2010,"['Paul LePage (R), 38.3', '\nEliot Cutler (I), 36.5', '\nLibby Mitchell (D), 19.1', '\n\n']","John Baldacci
",D,"Democratic
",0,"Term-limited, Republican victory
",Maine,ME,"Paul LePage (R), 38.3",2010
ME_gov_2014,['√ Paul LePage (R) Mike Michaud (D)[23] Eliot Cutler (Unenrolled)[33]\n'],Paul LePage,R,Republican,1,Re-elected 48.2%,Maine,ME,"√ Paul LePage (R) Mike Michaud (D)[23] Eliot Cutler (Unenrolled)[33]
",2014
MD_gov_1978,"['Harry Hughes (Democratic) 70.6', 'John Glenn Beall, Jr. (Republican) 29.4', '\n']","Marvin Mandel(Blair Lee III, acting governor)
",D,"Democratic
",0,"Term-limited, Democratic victory (Lee defeated in primary)
",Maryland,MD,Harry Hughes (Democratic) 70.6,1978
MD_gov_1982,"['Robert A. Pascal (Republican) 38.0', '\n']","Harry Hughes
",D,"Democratic
",0,"Re-elected, 62.0%
",Maryland,MD,Robert A. Pascal (Republican) 38.0,1982
MD_gov_1986,"['William Donald Schaefer (Democratic) 82.4', 'Thomas J. Mooney (Republican) 17.6', '\n']","Harry Hughes
",D,"Democratic
",0,"Term-limited, Democratic victory
",Maryland,MD,William Donald Schaefer (Democratic) 82.4,1986
